freq	dB(S21_fitted)
8.06250000000000000E+09	-3.78148637578492419E+00
8.07031250000000000E+09	-3.86302055226075369E+00
8.07812500000000000E+09	-3.94004847299997119E+00
8.08593750000000000E+09	-4.01271315500348980E+00
8.09375000000000000E+09	-4.08140463801154141E+00
8.10156250000000000E+09	-4.14680963571417216E+00
8.10937500000000000E+09	-4.20996835435464689E+00
8.11718750000000000E+09	-4.27233747101070183E+00
8.12500000000000000E+09	-4.33585661594040239E+00
8.13281250000000000E+09	-4.40301324696614849E+00
8.14062500000000000E+09	-4.47689743819263963E+00
8.14843750000000000E+09	-4.56123395648755992E+00
8.15625000000000000E+09	-4.66037464401271428E+00
8.16015625000000000E+09	-4.71701290759635938E+00
8.16406250000000000E+09	-4.77923084895062278E+00
8.16796875000000000E+09	-4.84770558808458230E+00
8.17187500000000000E+09	-4.92312558528528577E+00
8.17578125000000000E+09	-5.00618072871252284E+00
8.17968750000000000E+09	-5.09755098185116662E+00
8.18359375000000000E+09	-5.19789380886537167E+00
8.18750000000000000E+09	-5.30783070877841379E+00
8.19140625000000000E+09	-5.42793329999281404E+00
8.19531250000000000E+09	-5.55870949308417650E+00
8.19921875000000000E+09	-5.70059035912977130E+00
8.20312500000000000E+09	-5.85391833093747316E+00
8.20703125000000000E+09	-6.01893735619353354E+00
8.21093750000000000E+09	-6.19578555046436019E+00
8.21484375000000000E+09	-6.38449077629289174E+00
8.21875000000000000E+09	-6.58496941131352820E+00
8.22265625000000000E+09	-6.79702837841422891E+00
8.22656250000000000E+09	-7.02037031358055508E+00
8.23046875000000000E+09	-7.25460156240085929E+00
8.23437500000000000E+09	-7.49924254256869016E+00
8.23828125000000000E+09	-7.75373990069610830E+00
8.24218750000000000E+09	-8.01747983456425573E+00
8.24609375000000000E+09	-8.28980194693930450E+00
8.25000000000000000E+09	-8.57001303851895813E+00
8.25781250000000000E+09	-9.15124366662653088E+00
8.26562500000000000E+09	-9.75544531862716902E+00
8.27343750000000000E+09	-1.03770877972944486E+01
8.28125000000000000E+09	-1.10110651186534874E+01
8.28906250000000000E+09	-1.16528300929186734E+01
8.29687500000000000E+09	-1.22984511296490862E+01
8.30468750000000000E+09	-1.29446118702453390E+01
8.31250000000000000E+09	-1.35885736248164424E+01
8.32031250000000000E+09	-1.42281170755796111E+01
8.32812500000000000E+09	-1.48614753323359938E+01
8.33593750000000000E+09	-1.54872663667382930E+01
8.34375000000000000E+09	-1.61044296138866265E+01
8.35156250000000000E+09	-1.67121691971826678E+01
8.35937500000000000E+09	-1.73099046870679345E+01
8.36718750000000000E+09	-1.78972293619590808E+01
8.37500000000000000E+09	-1.84738754210787413E+01
8.38281250000000000E+09	-1.90396853580261833E+01
8.39062500000000000E+09	-1.95945886334836636E+01
8.39843750000000000E+09	-2.01385828118211947E+01
8.40625000000000000E+09	-2.06717184018958164E+01
8.41406250000000000E+09	-2.11940867378081279E+01
8.42187500000000000E+09	-2.17058103338881345E+01
8.42968750000000000E+09	-2.22070352407598257E+01
8.43750000000000000E+09	-2.26979250118223561E+01
8.45312500000000000E+09	-2.36494134491007735E+01
8.46875000000000000E+09	-2.45617780470265181E+01
8.48437500000000000E+09	-2.54365880830115856E+01
8.50000000000000000E+09	-2.62754295350698932E+01
8.51562500000000000E+09	-2.70798762246781841E+01
8.53125000000000000E+09	-2.78514739488859639E+01
8.54687500000000000E+09	-2.85917323100443674E+01
8.56250000000000000E+09	-2.93021209146473254E+01
8.57812500000000000E+09	-2.99840678820373476E+01
8.59375000000000000E+09	-3.06389594246523735E+01
8.60937500000000000E+09	-3.12681397910704533E+01
8.62500000000000000E+09	-3.18729112016914904E+01
8.65625000000000000E+09	-3.30142243227915273E+01
8.68750000000000000E+09	-3.40724627397847755E+01
8.71875000000000000E+09	-3.50564877476588492E+01
8.75000000000000000E+09	-3.59744397735520138E+01
8.78125000000000000E+09	-3.68337293378570010E+01
8.81250000000000000E+09	-3.76410424245637572E+01
8.84375000000000000E+09	-3.84023614493070653E+01
8.87500000000000000E+09	-3.91230000147541830E+01
8.90625000000000000E+09	-3.98076480175998384E+01
8.93750000000000000E+09	-4.04604231989568248E+01
8.96875000000000000E+09	-4.10849255170207428E+01
9.00000000000000000E+09	-4.16842913968335509E+01
9.03125000000000000E+09	-4.22612457050171884E+01
9.06250000000000000E+09	-4.28181500429734569E+01
9.09375000000000000E+09	-4.33570465712399411E+01
9.12500000000000000E+09	-4.38796970480942932E+01
9.15625000000000000E+09	-4.43876170965948447E+01
9.18750000000000000E+09	-4.48821059297278779E+01
9.21875000000000000E+09	-4.53642718904682951E+01
9.25000000000000000E+09	-4.58350542274992634E+01
9.31250000000000000E+09	-4.67454873910778801E+01
9.37500000000000000E+09	-4.76181699611459024E+01
9.43750000000000000E+09	-4.84560776394644819E+01
9.50000000000000000E+09	-4.92606784017837356E+01
9.56250000000000000E+09	-5.00321443209407022E+01
9.62500000000000000E+09	-5.07695303878388131E+01
9.68750000000000000E+09	-5.14709522374150907E+01
9.75000000000000000E+09	-5.21337899340635218E+01
9.81250000000000000E+09	-5.27549378667507938E+01
9.87500000000000000E+09	-5.33311095128864423E+01
9.93750000000000000E+09	-5.38591897356447973E+01
1.00000000000000000E+10	-5.43366081805500869E+01
